codigo,descricao,tipo,unidade,preco_custo,preco_venda,estoque_minimo,aliq_icms,aliq_ipi,aliq_pis,aliq_cofins,ncm
ACOPO-001,ABRAC COPO-BASE,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-001,"ABRAC D C/CUNHA 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-002,"ABRAC D C/CUNHA 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-003,"ABRAC D C/CUNHA 1""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-004,"ABRAC D C/CUNHA 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-005,"ABRAC D C/CUNHA 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-006,"ABRAC D C/CUNHA 2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-007,"ABRAC D C/CUNHA 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-008,"ABRAC D C/CUNHA 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-009,"ABRAC D C/CUNHA 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-010,"ABRAC D C/CUNHA 4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
ACH-011,"ABRAC D CUNHA 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-001,"ABRAC GOTA 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-002,"ABRAC GOTA 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-003,"ABRAC GOTA 1""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-004,"ABRAC GOTA 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-005,"ABRAC GOTA 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-006,"ABRAC GOTA 2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-007,"ABRAC GOTA 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-008,"ABRAC GOTA 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-009,"ABRAC GOTA 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-010,"ABRAC GOTA 4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-011,"ABRAC GOTA 5""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-012,"ABRAC GOTA 6""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-013,"ABRAC GOTA 8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-014,"ABRAC GOTA 10""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-015,"ABRAC GOTA 12""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-016,"ABRAC GOTA 14""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-017,"ABRAC GOTA 16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-018,"ABRAC GOTA 1 1/2"" INOX 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-019,"ABRAC GOTA 1 1/4"" INOX 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-020,"ABRAC GOTA 1"" INOX 1""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-021,"ABRAC GOTA 2 1/2"" INOX 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-022,"ABRAC GOTA 2"" INOX 2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-023,"ABRAC GOTA 3"" INOX 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AGOT-024,"ABRAC GOTA 3/4"" INOX 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-001,"ABRAC U PERFIL 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-002,"ABRAC U PERFIL 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-003,"ABRAC U PERFIL 1""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-004,"ABRAC U PERFIL 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-005,"ABRAC U PERFIL 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-006,"ABRAC U PERFIL 2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-007,"ABRAC U PERFIL 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-008,"ABRAC U PERFIL 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-009,"ABRAC U PERFIL 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUP-010,"ABRAC U PERFIL 4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-001,"ABRAC U SIMPLES 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-002,"ABRAC U SIMPLES 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-003,"ABRAC U SIMPLES 1""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-004,"ABRAC U SIMPLES 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-005,"ABRAC U SIMPLES 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-006,"ABRAC U SIMPLES 2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-007,"ABRAC U SIMPLES 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-008,"ABRAC U SIMPLES 3""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-009,"ABRAC U SIMPLES 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-010,"ABRAC U SIMPLES 4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-011,"ABRAC U SIMPLES 5""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-012,"ABRAC U SIMPLES 5 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-013,"ABRAC U SIMPLES 8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-014,ABRAC U SIMPLES 200mm,PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AUS-015,"ABRAC U SIMPLES 6"" 6""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVGALV-001,"ABRAC U VERG GF 2 1/2"" X 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-001,"ABRAC U VERG INOX 1 1/2"" X 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-002,"ABRAC U VERG INOX 1 1/4"" X 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-003,"ABRAC U VERG INOX 1"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-004,"ABRAC U VERG INOX 1"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-005,"ABRAC U VERG INOX 1"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-006,"ABRAC U VERG INOX 1/2"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-007,"ABRAC U VERG INOX 10"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-008,"ABRAC U VERG INOX 10"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-009,"ABRAC U VERG INOX 10"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-010,"ABRAC U VERG INOX 2 1/2"" X 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-011,"ABRAC U VERG INOX 2"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-012,"ABRAC U VERG INOX 2"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-013,"ABRAC U VERG INOX 2"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-014,"ABRAC U VERG INOX 3 1/2"" X 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-015,"ABRAC U VERG INOX 3"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-016,"ABRAC U VERG INOX 3"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-017,"ABRAC U VERG INOX 3"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-018,"ABRAC U VERG INOX 3/4"" X 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-019,"ABRAC U VERG INOX 3/8"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-020,"ABRAC U VERG INOX 4"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-021,"ABRAC U VERG INOX 4"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-022,"ABRAC U VERG INOX 4"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-023,"ABRAC U VERG INOX 5"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-024,"ABRAC U VERG INOX 5"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-025,"ABRAC U VERG INOX 6"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-026,"ABRAC U VERG INOX 6"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-027,"ABRAC U VERG INOX 6"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-028,"ABRAC U VERG INOX 8"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-029,"ABRAC U VERG INOX 8"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVINX-030,"ABRAC U VERG INOX 8"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-001,"ABRAC U VERG ZB 1 1/2"" X 1 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-002,"ABRAC U VERG ZB 1 1/4"" X 1 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-003,"ABRAC U VERG ZB 1"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-004,"ABRAC U VERG ZB 1"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-005,"ABRAC U VERG ZB 1"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-006,"ABRAC U VERG ZB 1/2"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-007,"ABRAC U VERG ZB 10"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-008,"ABRAC U VERG ZB 10"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-009,"ABRAC U VERG ZB 10"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-010,"ABRAC U VERG ZB 10"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-011,"ABRAC U VERG ZB 12"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-012,"ABRAC U VERG ZB 12"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-013,"ABRAC U VERG ZB 12"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-014,"ABRAC U VERG ZB 12"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-015,"ABRAC U VERG ZB 18"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-016,"ABRAC U VERG ZB 18"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-017,"ABRAC U VERG ZB 2 1/2"" X 2 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-018,"ABRAC U VERG ZB 2"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-019,"ABRAC U VERG ZB 2"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-020,"ABRAC U VERG ZB 2"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-021,"ABRAC U VERG ZB 2"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-022,"ABRAC U VERG ZB 3 1/2"" X 3 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-023,"ABRAC U VERG ZB 3"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-024,"ABRAC U VERG ZB 3"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-025,"ABRAC U VERG ZB 3"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-026,"ABRAC U VERG ZB 3"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-027,"ABRAC U VERG ZB 3/4"" X 3/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-028,"ABRAC U VERG ZB 3/8"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-029,"ABRAC U VERG ZB 4"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-030,"ABRAC U VERG ZB 4"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-031,"ABRAC U VERG ZB 4"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-032,"ABRAC U VERG ZB 4"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-033,"ABRAC U VERG ZB 5"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-034,"ABRAC U VERG ZB 5"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-035,"ABRAC U VERG ZB 5"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-036,"ABRAC U VERG ZB 6"" X 1/4""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-037,"ABRAC U VERG ZB 6"" X 5/16""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-038,"ABRAC U VERG ZB 6"" X 3/8""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
AVZB-039,"ABRAC U VERG ZB 6"" X 1/2""",PRODUTO_ACABADO,UN,0,0,0,12,0,0.65,3.00,
